student_id,login_frequency_per_week,avg_session_duration_min,video_completion_pct,quiz_attempts,forum_posts,weekend_activity_pct,student_name,course_name,preferred_time_slot,engagement_tier,completed_course
S2265,0.3,26.8,24.4,0,0,27.5,Nida Rizvi,Python for Beginners,Night,Low,No
S2266,3.4,27.7,48.7,3,4,23.6,Zoya Rashid,Deep Learning Fundamentals,Afternoon,Medium,Yes
S2267,1.9,29.8,80.2,4,5,4.5,Ahmed Warsi,Deep Learning Fundamentals,Afternoon,Medium,Yes
S2268,1.2,26.0,33.7,1,1,0.9,Adeel Khan,Power BI & Tableau,Morning,Low,No
S2269,4.4,51.0,85.4,7,6,32.5,Talha Ansari,Power BI & Tableau,Evening,High,Yes
S2270,4.1,15.8,74.6,3,3,44.8,Rabia Baig,Data Science,Evening,Medium,Yes
S2271,1.1,18.1,35.1,2,1,9.3,Mariam Hashmi,Deep Learning Fundamentals,Evening,Low,No
S2272,2.0,11.5,44.7,1,1,0.0,Hamza Siddiqui,SQL Mastery,Morning,Low,No
S2273,2.9,23.5,66.0,5,0,25.6,Sadia Rashid,Machine Learning,Night,Medium,No
S2274,0.9,21.7,5.7,0,1,18.7,Fatima Hashmi,Python for Beginners,Evening,Low,No
S2275,2.8,34.9,54.9,3,0,35.1,Sana Warsi,Deep Learning Fundamentals,Night,Medium,No
S2276,5.5,46.2,72.5,6,7,69.9,Saad Rizvi,Data Science,Night,High,No
S2277,2.4,52.3,64.0,3,2,49.7,Sadia Hashmi,Deep Learning Fundamentals,Night,Medium,Yes
S2278,1.7,20.1,42.9,0,0,25.9,Zain Sheikh,Business Analytics,Afternoon,Low,Yes
S2279,2.1,7.2,39.9,3,0,5.5,Zoya Hashmi,Python for Beginners,Night,Low,No
S2280,3.5,35.2,59.3,5,3,35.6,Usman Ansari,Power BI & Tableau,Evening,Medium,Yes
S2281,1.6,19.7,20.1,0,1,26.3,Talha Abbasi,SQL Mastery,Afternoon,Low,No
S2282,5.1,41.1,50.9,3,0,59.6,Nida Malik,Power BI & Tableau,Afternoon,Medium,Yes
S2283,4.6,48.0,47.0,3,2,36.1,Hina Ansari,Data Science,Afternoon,Medium,No
S2284,3.5,19.1,48.5,5,5,55.3,Adeel Chaudhry,Machine Learning,Morning,Medium,Yes
S2285,3.3,56.3,92.6,10,8,18.7,Kashif Sheikh,Deep Learning Fundamentals,Afternoon,High,No
S2286,6.3,69.0,80.0,8,9,48.7,Faisal Farooqui,Python for Beginners,Night,High,Yes
S2287,1.1,16.2,17.8,1,1,3.3,Hina Rashid,Data Science,Night,Low,No
S2288,3.3,45.5,81.6,6,8,57.0,Omar Abbasi,Deep Learning Fundamentals,Afternoon,High,Yes
S2289,3.9,27.4,53.9,4,1,23.0,Mahnoor Rashid,SQL Mastery,Night,Medium,Yes
S2290,3.0,10.7,72.8,6,0,10.5,Hina Siddiqui,SQL Mastery,Afternoon,Medium,No
S2291,0.8,21.9,14.2,3,1,13.5,Usman Iqbal,Data Science,Afternoon,Low,No
S2292,1.1,12.7,40.9,1,0,2.0,Nida Baig,Python for Beginners,Evening,Low,No
S2293,4.8,50.0,98.3,8,10,22.6,Amina Khan,Deep Learning Fundamentals,Night,High,Yes
S2294,3.3,29.3,54.5,4,5,34.0,Ahmed Farooqui,Data Science,Afternoon,Medium,Yes
S2295,3.4,40.0,61.0,7,5,15.3,Rabia Chaudhry,Power BI & Tableau,Afternoon,Medium,Yes
S2296,4.2,51.4,78.4,6,13,45.2,Usman Malik,SQL Mastery,Afternoon,High,Yes
S2297,1.0,61.5,51.1,3,3,24.3,Ahmed Iqbal,Python for Beginners,Evening,Medium,No
S2298,3.7,54.3,33.9,7,1,55.8,Ahmed Sheikh,Power BI & Tableau,Afternoon,Medium,Yes
S2299,1.6,13.9,42.8,3,0,17.5,Zain Rashid,Data Science,Afternoon,Low,No
S2300,1.6,27.3,17.0,2,1,37.0,Nida Abbasi,Business Analytics,Evening,Low,No
S2301,1.4,30.6,17.1,0,1,0.0,Sadia Sheikh,Deep Learning Fundamentals,Night,Low,No
S2302,3.6,32.9,67.7,5,0,42.3,Zain Farooqui,Machine Learning,Morning,Medium,Yes
S2303,1.6,43.2,58.2,3,1,30.7,Amina Sheikh,Data Science,Afternoon,Medium,No
S2304,2.0,4.6,41.6,2,1,19.6,Zain Siddiqui,SQL Mastery,Evening,Low,No
S2305,3.0,23.1,86.0,7,4,27.8,Fatima Malik,Data Science,Afternoon,Medium,Yes
S2306,5.4,52.9,91.8,10,3,19.8,Sana Rizvi,Data Science,Night,High,Yes
S2307,4.9,35.1,79.6,7,4,20.4,Hamza Malik,Machine Learning,Morning,Medium,No
S2308,4.7,40.7,89.4,6,7,0.0,Iqra Hashmi,Machine Learning,Night,High,Yes
S2309,4.4,52.4,81.3,7,13,41.9,Rabia Rizvi,Power BI & Tableau,Night,High,Yes
S2310,3.6,41.2,53.4,7,3,27.7,Zainab Rashid,Machine Learning,Evening,Medium,Yes
S2311,3.2,44.8,55.0,7,5,29.3,Sarah Ansari,Power BI & Tableau,Evening,Medium,Yes
S2312,3.5,40.5,94.3,10,8,20.5,Rabia Rizvi,Power BI & Tableau,Afternoon,High,Yes
S2313,2.6,13.5,36.3,0,0,8.8,Saad Baig,Deep Learning Fundamentals,Night,Low,No
S2314,3.2,21.9,55.3,5,0,49.4,Talha Rizvi,Python for Beginners,Night,Medium,Yes
S2315,0.3,20.3,27.9,2,0,0.0,Sadia Khan,Business Analytics,Night,Low,No
S2316,5.8,44.4,85.6,9,3,37.3,Yusuf Abbasi,SQL Mastery,Evening,High,No
S2317,0.6,13.1,36.1,1,1,16.6,Mariam Qureshi,Business Analytics,Morning,Low,No
S2318,1.1,24.4,54.7,7,1,45.4,Sadia Rizvi,Business Analytics,Night,Medium,Yes
S2319,3.9,31.6,51.2,3,0,28.0,Bilal Chaudhry,Machine Learning,Afternoon,Medium,Yes
S2320,2.7,48.8,72.5,7,5,29.7,Zainab Sheikh,Python for Beginners,Night,Medium,Yes
S2321,6.5,63.1,86.1,8,4,22.7,Mahnoor Siddiqui,Python for Beginners,Evening,High,Yes
S2322,0.8,28.9,58.5,1,1,10.7,Usman Hashmi,Business Analytics,Morning,Low,No
S2323,4.5,67.3,87.9,11,7,54.8,Saad Farooqui,Power BI & Tableau,Evening,High,Yes
S2324,3.4,49.7,64.3,6,2,46.8,Zain Rizvi,Data Science,Night,Medium,No
S2325,2.0,44.9,61.5,5,5,19.5,Usman Rizvi,Data Science,Morning,Medium,No
S2326,2.8,33.0,63.5,4,3,26.4,Imran Siddiqui,Data Science,Afternoon,Medium,Yes
S2327,5.3,28.6,76.9,10,6,49.0,Zoya Rizvi,Business Analytics,Morning,High,Yes
S2328,1.2,14.2,36.3,3,1,11.6,Talha Abbasi,Deep Learning Fundamentals,Evening,Low,No
S2329,0.1,9.7,12.3,0,1,16.0,Adeel Chaudhry,Deep Learning Fundamentals,Morning,Low,No
S2330,2.0,15.2,22.4,2,0,36.6,Amina Khan,Data Science,Evening,Low,No
S2331,3.3,49.0,61.0,6,5,36.0,Sarah Chaudhry,Data Science,Evening,Medium,Yes
S2332,1.7,3.4,49.1,0,0,14.1,Sarah Farooqui,Power BI & Tableau,Morning,Low,No
S2333,3.7,44.9,74.7,3,5,7.1,Sarah Malik,Deep Learning Fundamentals,Night,Medium,No
S2334,2.8,31.4,51.1,3,2,31.1,Laiba Malik,Business Analytics,Morning,Medium,No
S2335,1.9,43.1,45.0,3,1,12.3,Rayyan Chaudhry,Python for Beginners,Afternoon,Low,Yes
S2336,3.0,40.2,59.5,6,2,44.0,Ahmed Hashmi,Python for Beginners,Night,Medium,Yes
S2337,0.4,17.0,36.3,1,0,22.7,Kashif Rashid,Deep Learning Fundamentals,Night,Low,No
S2338,5.2,36.0,71.1,8,4,36.2,Sadia Chaudhry,SQL Mastery,Afternoon,High,Yes
S2339,2.1,17.4,32.9,2,0,19.1,Sarah Qureshi,SQL Mastery,Afternoon,Low,No
S2340,5.3,69.7,64.9,9,2,21.3,Iqra Abbasi,Machine Learning,Evening,High,Yes
S2341,4.8,55.7,86.3,9,11,61.5,Fatima Baig,Power BI & Tableau,Afternoon,High,Yes
S2342,1.3,16.1,21.0,2,0,31.0,Yusuf Warsi,Machine Learning,Night,Low,No
S2343,2.9,30.7,66.8,4,3,1.0,Amina Chaudhry,Machine Learning,Morning,Medium,No
S2344,3.1,36.2,49.1,3,2,25.8,Waqas Ansari,Python for Beginners,Morning,Medium,Yes
S2345,3.2,49.5,53.8,5,3,58.0,Kashif Farooqui,Deep Learning Fundamentals,Evening,Medium,No
S2346,5.3,22.5,50.9,7,5,49.7,Yusuf Iqbal,Power BI & Tableau,Night,Medium,No
S2347,5.7,56.6,100.0,10,10,30.8,Ayesha Malik,Data Science,Morning,High,Yes
S2348,2.6,39.8,57.3,3,1,19.8,Iqra Sheikh,SQL Mastery,Evening,Medium,Yes
S2349,3.7,53.6,64.7,7,0,47.5,Laiba Abbasi,Power BI & Tableau,Night,Medium,Yes
S2350,3.4,37.5,45.6,6,2,27.1,Zoya Baig,Python for Beginners,Afternoon,Medium,No
S2351,7.0,55.0,77.6,8,5,22.8,Laiba Khan,Business Analytics,Evening,High,Yes
S2352,1.3,8.1,27.1,1,1,5.6,Zainab Siddiqui,Data Science,Evening,Low,No
S2353,1.9,32.1,53.9,3,5,22.5,Hina Malik,Machine Learning,Evening,Medium,Yes
S2354,4.7,27.0,52.0,3,1,25.7,Hamza Warsi,Machine Learning,Night,Medium,No
S2355,1.3,16.9,27.7,2,1,19.8,Nida Abbasi,Python for Beginners,Afternoon,Low,No
S2356,5.0,75.7,90.2,11,14,38.8,Imran Iqbal,SQL Mastery,Afternoon,High,Yes
S2357,2.9,44.3,57.3,4,2,20.7,Hamza Siddiqui,Deep Learning Fundamentals,Night,Medium,Yes
S2358,6.3,44.5,99.2,9,14,40.9,Adeel Chaudhry,Power BI & Tableau,Afternoon,High,Yes
S2359,3.1,21.2,39.7,6,2,30.5,Faisal Qureshi,Business Analytics,Night,Medium,Yes
S2360,2.7,48.9,68.2,5,5,17.2,Rayyan Baig,Power BI & Tableau,Evening,Medium,Yes
S2361,3.2,22.0,54.0,5,3,44.9,Amina Malik,Machine Learning,Evening,Medium,No
S2362,3.7,46.2,70.2,6,5,28.4,Iqra Chaudhry,Data Science,Evening,Medium,Yes
S2363,5.8,57.0,89.6,8,10,55.7,Sana Khan,Power BI & Tableau,Evening,High,Yes
S2364,2.2,36.7,74.2,4,0,31.5,Imran Qureshi,SQL Mastery,Night,Medium,Yes
S2365,4.7,48.5,87.7,6,11,49.1,Sarah Hashmi,Data Science,Evening,High,Yes
S2366,0.4,14.4,44.3,1,0,12.1,Zainab Iqbal,Data Science,Afternoon,Low,No
S2367,3.7,41.0,42.9,4,2,22.9,Fatima Ansari,Business Analytics,Evening,Medium,Yes
S2368,5.5,56.5,100.0,8,6,61.0,Hina Qureshi,SQL Mastery,Afternoon,High,Yes
S2369,5.2,43.7,85.4,6,6,28.6,Iqra Siddiqui,Data Science,Morning,High,Yes
S2370,5.6,30.8,88.1,7,8,52.3,Bilal Abbasi,SQL Mastery,Afternoon,High,Yes
S2371,3.9,54.7,85.9,8,13,45.9,Talha Malik,Machine Learning,Afternoon,High,Yes
S2372,0.8,9.0,8.1,1,0,0.0,Zainab Chaudhry,Data Science,Evening,Low,No
S2373,2.8,29.5,57.4,3,0,31.5,Laiba Abbasi,SQL Mastery,Morning,Medium,No
S2374,1.6,24.7,26.7,0,0,19.6,Usman Sheikh,Data Science,Morning,Low,No
S2375,4.7,37.9,73.2,4,4,14.6,Rayyan Ansari,Data Science,Afternoon,Medium,Yes
S2376,1.8,2.0,19.8,0,1,9.7,Talha Farooqui,Power BI & Tableau,Morning,Low,No
S2377,1.0,18.0,61.5,6,1,51.1,Hamza Ansari,Machine Learning,Night,Medium,Yes
S2378,0.5,6.1,14.0,2,0,21.5,Bilal Warsi,SQL Mastery,Evening,Low,Yes
S2379,4.7,75.7,77.5,6,4,2.8,Zain Ansari,SQL Mastery,Evening,High,Yes
S2380,0.3,5.4,16.9,3,1,35.2,Waqas Baig,Deep Learning Fundamentals,Evening,Low,Yes
S2381,5.1,61.8,92.1,11,13,34.6,Rayyan Sheikh,Business Analytics,Afternoon,High,Yes
S2382,4.7,61.3,82.8,6,8,45.7,Talha Rashid,Deep Learning Fundamentals,Evening,High,Yes
S2383,1.9,39.9,57.6,6,0,25.0,Faisal Ansari,Deep Learning Fundamentals,Morning,Medium,Yes
S2384,1.3,7.2,24.1,0,1,20.5,Hina Iqbal,Business Analytics,Night,Low,No
S2385,5.6,47.5,87.5,9,13,41.0,Nida Sheikh,Power BI & Tableau,Afternoon,High,Yes
S2386,1.5,35.4,62.6,6,1,32.6,Rayyan Warsi,Power BI & Tableau,Evening,Medium,Yes
S2387,3.0,41.4,58.7,3,4,0.0,Imran Warsi,Business Analytics,Night,Medium,Yes
S2388,2.1,10.9,35.2,1,0,7.9,Sarah Sheikh,Machine Learning,Afternoon,Low,No
S2389,3.3,43.9,38.4,5,1,9.2,Kashif Abbasi,SQL Mastery,Evening,Medium,No
S2390,6.2,21.4,92.2,10,3,31.4,Rayyan Chaudhry,Deep Learning Fundamentals,Afternoon,High,Yes
S2391,1.4,35.9,40.3,0,0,0.0,Rabia Iqbal,Data Science,Morning,Low,No
S2392,2.0,2.7,32.4,1,1,4.4,Rabia Warsi,Machine Learning,Morning,Low,No
S2393,4.6,50.8,83.7,6,10,51.1,Adeel Hashmi,SQL Mastery,Afternoon,High,Yes
S2394,1.6,3.4,26.1,1,0,16.3,Sadia Warsi,Power BI & Tableau,Evening,Low,Yes
S2395,2.9,15.1,52.1,0,0,18.3,Zoya Sheikh,Power BI & Tableau,Morning,Low,No
S2396,0.0,18.0,21.3,0,1,28.8,Waqas Iqbal,Machine Learning,Evening,Low,No
S2397,1.0,8.9,50.4,0,0,13.4,Sarah Khan,Python for Beginners,Afternoon,Low,No
S2398,6.0,66.5,92.6,8,12,47.5,Talha Sheikh,Deep Learning Fundamentals,Evening,High,Yes
S2399,2.3,29.0,48.3,5,3,29.2,Imran Chaudhry,Data Science,Morning,Medium,Yes
S2400,3.2,38.5,52.6,3,4,31.3,Nida Ansari,Data Science,Afternoon,Medium,Yes
